,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1630167,00,0,5,0,13.1,2.4,4.6,0.522,0.6,1.8,0.333,1.0,1.2,0.833,0.8,1.8,2.6,0.4,0.0,0.2,0.6,1.2,6.4
0,1626157,00,0,5,5,33.9,5.6,12.0,0.467,0.6,2.2,0.273,3.4,4.6,0.739,3.0,10.4,13.4,2.2,0.4,1.0,2.4,2.8,15.2
0,1629018,00,0,5,1,30.6,3.2,9.0,0.356,2.0,4.8,0.417,1.2,1.4,0.857,1.0,1.0,2.0,0.6,0.8,0.0,1.0,3.2,9.6
0,200782,00,0,73,60,32.1,2.5,5.9,0.425,1.6,3.9,0.399,0.5,0.7,0.736,1.8,4.4,6.1,1.3,1.0,0.4,0.7,3.2,7.1
0,1629730,00,0,3,0,4.3,0.7,1.7,0.4,0.3,1.0,0.333,0.3,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,2.0
0,1626167,00,0,26,23,30.7,4.8,9.5,0.5,0.6,1.9,0.306,1.6,2.5,0.631,1.7,5.1,6.8,0.7,0.5,2.1,1.6,3.5,11.7
0,202685,00,0,48,41,26.3,5.3,9.4,0.558,0.1,0.3,0.286,2.3,3.0,0.757,2.8,6.7,9.5,0.9,0.4,1.0,1.7,2.6,12.9
0,1627832,00,0,48,12,24.3,3.3,8.4,0.396,1.9,5.0,0.378,1.1,1.3,0.813,0.3,1.8,2.1,3.2,0.8,0.3,1.0,1.8,9.6
0,1629020,00,0,3,0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0
0,1629216,00,0,4,0,4.8,0.5,0.8,0.667,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0,0.3,0.0,1.3
0,202696,00,0,11,10,30.4,7.0,15.5,0.453,1.9,5.2,0.368,2.0,2.5,0.815,1.6,7.1,8.7,3.2,0.5,0.7,2.4,2.3,17.9
0,202689,00,0,31,31,36.5,6.7,16.3,0.412,2.2,6.8,0.324,4.0,4.6,0.868,0.3,3.5,3.8,4.8,1.1,0.5,2.2,2.2,19.6
0,1629022,00,0,6,0,3.5,0.5,1.3,0.375,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.0,1.0
0,202322,00,0,37,37,38.7,7.7,18.4,0.419,0.9,3.5,0.267,5.5,6.7,0.822,0.5,3.8,4.3,9.8,1.7,1.1,3.9,2.3,21.9
